id;album;track;lyrics
46;Beatles for Sale;I'll Follow the Sun;One day you'll look to see I've gone For tomorrow may rain so I'll follow the sun Some day you'll know I was the one But tomorrow may rain so I'll follow the sun And now the time has come and so my love I must go And though I lose a friend in the end you will know oh One day you'll find that I have gone But tomorrow may rain so I'll follow the sun If tomorrow may rain so I'll follow the sun And now the time has come and so my love I must go And though I lose a friend in the end you will know oh One day you'll find that I have gone But tomorrow may rain so I'll follow the sun
47;Beatles for Sale;Mr. Moonlight;Mister Moonlight You came to me one summer night And from your beam you made my dream And from the world you sent my girl And from above you sent us love And now she is mine, I think you're fine 'Cause we love you Mister Moonlight Mister Moonlight come again please Here I am on my knees begging if you please And the night you don't come my way I pray and pray more each day 'Cause we love you Mister Moonlight And the night you don't come my way I pray and pray more each day 'Cause we love you Mister Moonlight Mister Moonlight come again please Here I am on my knees begging if you please And the night you don't come my way I pray and pray more each day 'Cause we love you Mister Moonlight Mister Moonlight...
48;Beatles for Sale;Kansas City / Hey-Hey-Hey-Hey!;Ah, Kansas City coming to get my baby back home yeah, yeah I'm gonna Kansas city coming to get my baby back home yeah, yeah Well, it's a long, long, time since my baby's been gone Ah, Kansas City coming to get my baby on time yeah, yeah I'm gonna Kansas City coming to get my baby on time yeah, yeah It's just a one, two, three, four five, six, seven, eight, nine, wah Hey, hey, hey, hey hey, baby, you're no clown I say you're no clown Now, now, now, now, Tell me baby What's been wrong with you Hey, hey, hey, hey hey, baby, you're no clown I say you're no clown Now, now, now, now, Tell me baby What's been wrong with you Well, I'll say bye bye, bye, baby bye, bye Oh, so long Bye, bye, baby I'm gone Yeah, I said bye, bye, baby, bye, bye bye, bye, bye, bye Well, I'll say bye bye, bye, baby bye, bye Oh, so long Bye, bye, baby I'm gone Yeah, I said bye, bye, baby, bye, bye bye, bye, bye, bye
49;Beatles for Sale;Eight Days a Week;Ooh I need your love babe Guess you know it's true Hope you need my love babe Just like I need you Hold me, love me, hold me, love me I ain't got nothing but love babe Eight days a week Love you every day girl Always on my mind One thing I can say girl Love you all the time Hold me, love me, hold me, love me I ain't got nothing but love girl Eight days a week Eight days a week I love you Eight days a week is not enough to show I care Ooh I need your love babe Guess you know it's true Hope you need my love babe Just like I need you Oh hold me, love me, hold me, love me I ain't got nothing but love babe Eight days a week Eight days a week I love you Eight days a week is not enough to show I care Love you every day girl Always on my mind One thing I can say girl Love you all the time Hold me, love me, hold me, love me I ain't got nothing but love babe Eight days a week Eight days a week Eight days a week
50;Beatles for Sale;Words of Love;Hold me close and tell me how you feel, tell me love is real Words of love you whisper soft and true, darling I love you Let me hear you say the words I long to hear, darling when you're near Words of love you whisper soft and true, darling I love you
51;Beatles for Sale;Honey Don't;Well how come you say you will when you won't Say you do, baby, when you don't Let me know, honey, how you feel Tell the truth now, is love real But ah-ah, well honey don't Well honey don't, honey don't Honey don't, honey don't I say you will when you won't Ah-ah, honey don't Well I love you, baby, and you ought to know I like the way that you wear your clothes Everything about you is so doggone sweet You got that sand all over your feet But ah-ah, well honey don't Honey don't, honey don't Honey don't, honey don't I say you will when you won't Ah-ah, honey don't [Oh, rock on George, one time for me I feel fine mmm-mmm I'm saying...] Well some times I love you on a Saturday night Sunday morning you don't look right You've been out painting the town Uh-uh, baby, been stepping around But ah-ah, well honey don't I'm saying honey don't, honey don't Honey don't, honey don't I say you will when you won't Ah-ah, honey don't [Oh rock on George for Ringo one time] Well honey don't, well honey don't A little-little honey don't I say you will when you won't Ah-ah honey don't
52;Beatles for Sale;Every Little Thing;When I'm walking beside her people tell me I'm lucky Yes I know I'm a lucky guy I remember the first time - I was lonely without her Can't stop thinking about her now Every little thing she does, she does for me, yeah And you know the things she does, she does for me, oooh When I'm with her I'm happy just to know that she loves me Yes I know that she loves me now There is one thing I'm sure of - I will love her forever For I know love will never die Every little thing she does, she does for me, yeah And you know the things she does, she does for me, oooh Every little thing she does, she does for me, yeah And you know the things she does, she does for me, oooh Every little thing, every little thing...
53;Beatles for Sale;I Don't Want to Spoil the Party;I don't want to spoil the party so I'll go I would hate my disappointment to show There's nothing for me here so I will disappear If she turns up while I'm gone please let me know I've had a drink or two and I don't care There's no fun in what I do if she's not there I wonder what went wrong I've waited far too long I think I'll take a walk and look for her Though tonight she's made me sad, I still love her If I find her I'll be glad, I still love her I don't want to spoil the party so I'll go I would hate my disappointment to show There's nothing for me here so I will disappear If she turns up while I'm gone please let me know Though tonight she's made me sad, I still love her If I find her I'll be glad, I still love her I've had a drink or two and I don't care There's no fun in what I do if she's not there I wonder what went wrong I've waited far too long I think I'll take a walk and look for her
54;Beatles for Sale;What You're Doing;Look what you're doing I'm feeling blue and lonely Would it be too much to ask of you What you're doing to me You got me running And there's no fun in it Why should it be so much to ask of you What you're doing to me I've been waiting here for you Wond'ring what you're gonna do Should you need a love that's true It's me Please stop your lying You've got me crying, girl Why should it be so much to ask of you What you're doing to me I've been waiting here for you Wond'ring what you're gonna do Should you need a love that's true It's me Please stop your lying You've got me crying, girl Why should it be so much to ask of you What you're doing to me What you're doing to me What you're doing to me
55;Beatles for Sale;Everybody's Trying to Be My Baby;Well they took some honey from a tree Dressed it up and they called it me Everybody's trying to be my baby Everybody's trying to be my baby Everybody's trying to be my baby Everybody's trying to be my baby now Woke up last night half past four Fifty women knocking on my door Everybody's trying to be my baby Everybody's trying to be my baby Everybody's trying to be my baby Everybody's trying to be my baby now Went out last night I didn't stay late Before I'm home I had nineteen dates Everybody's trying to be my baby Everybody's trying to be my baby Everybody's trying to be my baby Everybody's trying to be my baby now Went out last night I didn't stay late Before I'm home I had nineteen dates Everybody's trying to be my baby Everybody's trying to be my baby Everybody's trying to be my baby Everybody's trying to be my baby now Well they took some honey from a tree Dressed it up and they called it me Everybody's trying to be my baby Everybody's trying to be my baby Everybody's trying to be my baby Everybody's trying to be my baby now
56;Help!;Help!;Help, I need somebody, Help, not just anybody, Help, you know I need someone, help. When I was younger, so much younger than today, I never needed anybody's help in any way. But now these days are gone, I'm not so self assured, Now I find I've changed my mind and opened up the doors. Help me if you can, I'm feeling down And I do appreciate you being round. Help me, get my feet back on the ground, Won't you please, please help me. And now my life has changed in oh so many ways, My independence seems to vanish in the haze. But every now and then I feel so insecure, I know that I just need you like I've never done before. Help me if you can, I'm feeling down And I do appreciate you being round. Help me, get my feet back on the ground, Won't you please, please help me. When I was younger, so much younger than today, I never needed anybody's help in any way. But now these daya are gone, I'm not so self assured, Now I find I've changed my mind and opened up the doors. Help me if you can, I'm feeling down And I do appreciate you being round. Help me, get my feet back on the ground, Won't you please, please help me, help me, help me, oh.
57;Help!;The Night Before;We said our goodbyes (ah the night before) Love was in your eyes (ah the night before) Now today I find you have changed your mind Treat me like you did the night before Were you telling lies (ah the night before) Was I so unwise (ah the night before) When I held you near you were so sincere Treat me like you did the night before Last night is a night I will remember you by When I think of things we did it makes me wanna cry We said our goodbyes (ah the night before) Love was in your eyes (ah the night before) Now today I find you have changed your mind Treat me like you did the night before When I held you near you were so sincere Treat me like you did the night before Last night is a night I will remember you by When I think of things we did it makes me wanna cry Were you telling lies (ah the night before) Was I so unwise (ah the night before) When I held you near you were so sincere Treat me like you did the night before Like the night before
58;Help!;You've Got to Hide Your Love Away;Here I stand, head in hand, turn my face to the wall If she's gone I can't go on, feeling two foot small Everywhere people stare each and every day I can see them laugh at me and I hear them say Hey you've got to hide your love away Hey you've got to hide your love away How can I even try I can never win Hearing them, seeing them in the state I'm in How could she say to me 'love will find a way' Gather round all you clowns, let me hear you say Hey you've got to hide your love away Hey you've got to hide your love away
59;Help!;I Need You;You don't realise how much I need you Love you all the time and never leave you Please come on back to me, I'm lonely as can be I need you Said you had a thing or two to tell me How was I to know you would upset me I didn't realise as I looked in your eyes You told me, oh yes you told me you don't want my lovin' anymore That's when it hurt me and feeling like this I just can't go on anymore Please remember how I feel about you I could never really live without you So come on back and see just what you mean to me I need you But when you told me you don't want my lovin' anymore That's when it hurt me and feeling like this I just can't go on anymore Please remember how I feel about you I could never really live without you So come on back and see just what you mean to me I need you, I need you, I need you
60;Help!;Another Girl;For I have got another girl, another girl You're making me say that I've got nobody but you But as from today, well I've got somebody that's new I ain't no fool and I don't take what I don't want For I have got another girl, another girl She's sweeter than all the girls and I met quite a few Nobody in all the world can do what she can do And so I'm telling you this time you'd better stop For I have got another girl Another girl who will love me till the end Through thick and thin she will always be my friend I don't want to say that I've been unhappy with you But as from today, well I've seen somebody that's new I ain't no fool and I don't take what I don't want For I have got another girl Another girl who will love me till the end Through thick and thin she will always be my friend I don't want to say that I've been unhappy with you But as from today, well I've seen somebody that's new I ain't no fool and I don't take what I don't want For I have got another girl, another girl, another girl
61;Help!;You're Going to Lose That Girl;You're gonna lose that girl (yes yes you're gonna lose that girl) You're gonna lose that girl (yes yes you're gonna lose that girl) If you don't take her out tonight She's gonna change her mind (she's gonna change her mind) And I will take her out tonight And I will treat her kind (I'm gonna treat her kind) You're gonna lose that girl (yes yes you're gonna lose that girl) You're gonna lose that girl (yes yes you're gonna lose that girl) If you don't treat her right my friend You're gonna find her gone (you're gonna find her gone) 'Cause I will treat her right and then You'll be the lonely one (you're not the only one) You're gonna lose that girl (yes yes you're gonna lose that girl) You're gonna lose that girl (yes yes you're gonna lose that girl) You're gonna lose (yes yes you're gonna lose that girl) I'll make a point of taking her away from you (watch what you do) yeah The way you treat her, what else can I do (You're gonna lose that girl) (You're gonna lose that girl) You're gonna lose that girl (yes yes you're gonna lose that girl) You're gonna lose that girl (yes yes you're gonna lose that girl) You're gonna lose (yes yes you're gonna lose that girl) I'll make a point of taking her away from you (watch what you do) yeah The way you treat her, what else can I do If you don't take her out tonight She's gonna change her mind (she's gonna change her mind) And I will take her out tonight And I will treat her kind (I'm gonna treat her kind) You're gonna lose that girl (yes yes you're gonna lose that girl) You're gonna lose that girl (yes yes you're gonna lose that girl) You're gonna lose (yes yes you're gonna lose that girl)
62;Help!;Ticket to Ride;I think I'm gonna be sad, I think it's today yeah The girl that's driving me mad is going away She's got a ticket to ride, she's got a ticket to ride She's got a ticket to ride but she don't care She said that living with me was bringing her down yeah She would never be free when I was around She's got a ticket to ride, she's got a ticket to ride She's got a ticket to ride but she don't care I don't know why she's ridin' so high She ought to think twice, she ought to do right by me Before she gets to saying goodbye She ought to think twice, she ought to do right by me I think I'm gonna be sad, I think it's today yeah The girl that's driving me mad is going away Ah she's got a ticket to ride, she's got a ticket to ride She's got a ticket to ride but she don't care I don't know why she's ridin' so high She ought to think twice, she ought to do right by me Before she gets to saying goodbye She ought to think twice, she ought to do right by me She said that living with me was bringing her down yeah She would never be free when I was around Ah she's got a ticket to ride, she's got a ticket to ride She's got a ticket to ride but she don't care My baby don't care, my baby don't care...
63;Help!;Act Naturally;They're gonna put me in the movies They're gonna make a big star out of me We'll make a film about the man that's sad and lonely And all I gotta do is act naturally Well I bet you I'm gonna be a big star .... you can never tell The movie's gonna make me a big star 'Cause I can play the part so well Well I hope you'll come and see me in the movies Then I'll know that you will plainly see The biggest fool that ever hit the big time And all I gotta do is act naturally We'll make the scene about the man that's sad and lonely .... I'll play the part and I won't need rehearsing' All I have to do is act naturally Well I bet you I'm gonna be a big star .... you can never tell The movie's gonna make me a big star 'Cause I can play the part so well Well I hope you'll come and see me in the movies Then I'll know that you will plainly see The biggest fool that ever hit the big time And all I gotta do is act naturally
64;Help!;It's Only Love;I get high when I see you go by, my oh my When you sigh, my, my inside just flies, butterflies Why am I so shy when I'm beside you It's only love and that is all, why should I feel the way I do It's only love and that is all but it's so hard loving you Is it right that you and I should fight every night Just the sight of you makes night-time bright, very bright Haven't I the right to make it up girl It's only love and that is all, why should I feel the way I do It's only love and that is all but it's so hard loving you Yes it's so hard loving you, loving you
65;Help!;You Like Me Too Much;Though you've gone away this morning you'll be back again tonight Telling me there'll be no next time if I just don't treat you right You'll never leave me and you know it's true 'Cause you like me too much and I like you You've tried before to leave me but you haven't got the nerve To walk out and make me lonely which is all that I deserve You'll never leave me and you know it's true 'Cause you like me too much and I like you I really do and it's nice when you believe me If you leave me I will follow you and bring you back where you belong 'Cause I couldn't really stand it, I'd admit that I was wrong I wouldn't let you leave me 'cause it's true 'Cause you like me too much and I like you 'Cause you like me too much and I like you I really do and it's nice when you believe me If you leave me I will follow you and bring you back where you belong 'Cause I couldn't really stand it, I'd admit that I was wrong I wouldn't let you leave me 'cause it's true 'Cause you like me too much and I like you 'Cause you like me too much and I like you
66;Help!;Tell Me What You See;If you let me take your heart I will prove to you We will never be apart if I'm a part of you Open up your eyes now, tell me what you see It is no surprise now, what you see is me Big and black the clouds may be, time will pass away If you put your trust in me I'll make bright your day Look into these eyes now, tell me what you see Don't you realise now, what you see is me Tell me what you see Listen to me one more time, how can I get through Can't you try to see that I'm trying to get to you Open up your eyes now, tell me what you see It is no surprise now, what you see is me Tell me what you see Listen to me one more time, how can I get through Can't you try to see that I'm trying to get to you Open up your eyes now, tell me what you see It is no surprise now, what you see is me Hm hm hm hm hm
67;Help!;I've Just Seen a Face;I've just seen a face I can't forget the time or place where we just met She's just a girl for me and I want all the world to see we've met Mm mm mm mm'm mm Had it been another day I might have looked the other way and I'd have never been aware But as it is I'll dream of her tonight Di di di di'd di Falling yes I am falling and she keeps calling me back again I have never known the like of this I've been alone and I have missed things and kept out of sight But other girls were never quite like this Da da n'da n'da'n'da Falling yes I am falling and she keeps calling me back again Falling yes I am falling and she keeps calling me back again I've just seen a face I can't forget the time or place where we just met She's just a girl for me and I want all the world to see we've met Hm hm hm na na na Falling yes I am falling and she keeps calling me back again Falling yes I am falling and she keeps calling me back again Oh falling yes I am falling and she keeps calling me back again
68;Help!;Yesterday;Yesterday all my troubles seemed so far away Now it looks as though they're here to stay Oh I believe in yesterday Suddenly I'm not half the man I used to be There's a shadow hanging over me Oh yesterday came suddenly Why she had to go I don't know she wouldn't say I said something wrong, now I long for yesterday Yesterday love was such an easy game to play Now I need a place to hide away Oh I believe in yesterday Why she had to go I don't know she wouldn't say I said something wrong, now I long for yesterday Yesterday love was such an easy game to play Now I need a place to hide away Oh I believe in yesterday Hm hm hm hm hm hm hm
69;Help!;Dizzy Miss Lizzy;You make me dizzy, Miss Lizzy, the way you rock'n'roll You make me dizzy, Miss Lizzy, when you do the stroll Come on, Miss Lizzy, love me 'fore I grow too old Come on give me fever, put your little hand in mine You make me dizzy, dizzy Lizzy, oh girl you look so fine Just you're a-rockin' and a-rollin', girl I certain wish you were mine You make me dizzy, Miss Lizzy, when you call my name Ooh baby, say you're driving me insane Come on, come on, come on, baby I wanna be your lovin' man Run and tell your mama, I want you to be my bride Run and tell your brother, baby don't run and hide You make me dizzy, Miss Lizzy, girl I wanna marry you Come on give me fever, put your little hand in mine girl You make me dizzy, dizzy Lizzy, girl you look so fine You're just a-rockin' and a-rollin', I certain wish you were mine
70;Rubber Soul;Drive My Car;Asked a girl what she wanted to be She said, baby can't you see I wanna be famous, a star of the screen But you can do something in between Baby you can drive my car Yes I'm gonna be a star Baby you can drive my car And maybe I'll love you I told that girl that my prospects were good And she said, baby it's understood Working for peanuts is all very fine But I can show you a better time Baby you can drive my car Yes I'm gonna be a star Baby you can drive my car And maybe I'll love you Beep beep mm beep beep yeah Baby you can drive my car Yes I'm gonna be a star Baby you can drive my car And maybe I'll love you I told that girl I could start right away And she said, listen babe I've got something to say I've got no car and it's breaking my heart But I've found a driver and that's a start Baby you can drive my car Yes I'm gonna be a star Baby you can drive my car And maybe I'll love you Beep beep mm beep beep yeah...
71;Rubber Soul;Norwegian Wood (This Bird Has Flown);I once had a girl, or should I say, she once had me. She showed me her room, isn't it good, Norwegian wood She asked me to stay and she told me to sit anywhere, So I looked around and I noticed there wasn't a chair. I sat on a rug, biding my time, drinking her wine. We talked until two and then she said, It's time for bed . She told me she worked in the morning and started to laugh. I told her I didn't and crawled off to sleep in the bath. And when I awoke I was alone, this bird had flown. So I lit a fire, isn't it good, Norwegian wood
72;Rubber Soul;You Won't See Me;When I call you up your line's engaged I have had enough, so act your age We have lost the time that was so hard to find And I will loose my mind if you won't see me (you won't see me) You won't see me (you won't see me) I don't know why you should want to hide But I can't get through my hands are tied I won't want to stay I don't have much to say But I can turn away and you won't see me (you won't see me) You won't see me (you won't see me) Time after time you refuse to even listen I wouldn't mind if I knew what I was missing (no I wouldn't, no I wouldn't) Though the days are few they're filled with tears And since I lost you it feels like years Yes it seems so long girl since you've been gone And I just can't go on if you won't see me (you won't see me) You won't see me (you won't see me) Time after time you refuse to even listen I wouldn't mind if I knew what I was missing (no I wouldn't, no I wouldn't) Though the days are few they're filled with tears And since I've lost you it feels like years Yes it seems so long girl since you've been gone And I just can't go on if you won't see me (you won't see me) You won't see me (you won't see me)
73;Rubber Soul;Nowhere Man;He's a real Nowhere Man Sitting in his Nowhere Land Making all his Nowhere plans for nobody Doesn't have a point of view Knows not where he's going to Isn't he a bit like you and me Nowhere Man please listen You don't know what you're missing Nowhere Man the world is at your command He's as blind as he can be Just sees what he wants to see Nowhere Man can you see me at all Nowhere Man don't worry Take your time don't hurry Leave it all till somebody else lends you a hand Doesn't have a point of view Knows not where he's going to Isn't he a bit like you and me Nowhere Man please listen You don't know what you're missing Nowhere Man the world is at your command He's a real Nowhere Man Sitting in his Nowhere Land Making all his Nowhere plans for nobody Making all his Nowhere plans for nobody Making all his Nowhere plans for nobody
74;Rubber Soul;Think for Yourself;I've got a word or two To say about the things that you do You're telling all those lies About the good things that we can have if we close our eyes Do what you want to do And go where you're going to Think for yourself 'cause I won't be there with you I left you far behind The ruins of the life that you had in mind And though you still can't see I know your mind's made up you're gonna cause more misery Do what you want to do And go where you're going to Think for yourself 'cause I won't be there with you Although your mind's opaque Try thinking more if just for your own sake The future still looks good And you've got time to rectify all the things that you should Do what you want to do And go where you're going to Think for yourself 'cause I won't be there with you Do what you want to do And go where you're going to Think for yourself 'cause I won't be there with you Think for yourself 'cause I won't be there with you
75;Rubber Soul;The Word;Say the word and you'll be free Say the word and be like me Say the word I'm thinking of Have you heard the word is love It's so fine, it's sunshine, it's the word love In the beginning I misunderstood But now I've got it the word is good Spread the word and you'll be free Spread the word and be like me Spread the word I'm thinking of Have you heard the word is love It's so fine, it's sunshine, it's the word love Everywhere I go I hear it said In the good and the bad books that I have read Say the word and you'll be free Say the word and be like me Say the word I'm thinking of Have you heard the word is love It's so fine, it's sunshine, it's the word love Now that I know what I feel must be right I'm here to show everybody the light Give the word a chance to say That the word is just the way It's the word I'm thinking of And the only word is love It's so fine, it's sunshine, it's the word love Say the word love, say the word love Say the word love, say the word love
76;Rubber Soul;Michelle;Michelle ma belle These are words that go together well My Michelle Michelle ma belle Sont les mots qui vont trés bien ensemble Trés bien ensemble I love you, I love you, I love you That's all I want to say Until I find a way I will say the only words I know that you'll understand Michelle ma belle Sont les mots qui vont trés bien ensemble Trés bien ensemble I need to, I need to, I need to I need to make you see Oh what you mean to me Until I do I'm hoping you will know what I mean I love you I want you, I want you, I want you I think you know by now I'll get to you somehow Until I do I'm telling you so you'll understand Michelle ma belle Sont les mots qui vont trés bien ensemble Trés bien ensemble And I will say the only words I know that you'll understand My Michelle
77;Rubber Soul;What Goes On;What goes on in your heart What goes on in your mind You are tearing me apart when you treat me so unkind What goes on in your mind The other day I saw you as I walked along the road But when I saw him with you I could feel my future fold It's so easy for a girl like you to lie, tell me why What goes on in your heart What goes on in your mind You are tearing me apart when you treat me so unkind What goes on in your mind I met you in the morning waiting for the tides of time But now the tide is turning I can see that I was blind It's so easy for a girl like you to lie, tell me why What goes on in your heart I used to think of no one else but you were just the same You didn't even think of me as someone with a name Did you mean to break my heart and watch me die, tell me why What goes on in your heart What goes on in your mind You are tearing me apart when you treat me so unkind What goes on in your mind
78;Rubber Soul;Girl;Is there anybody going to listen to my story All about the girl who came to stay She's the kind of girl you want so much it makes you sorry Still you don't regret a single day Ah girl, girl When I think of all the times I've tried so hard to leave her She will turn to me and start to cry And she promises the earth to me and I believe her After all this time I don't know why Ah girl, girl She's the kind of girl who puts you down when friends are there You feel a fool When you say she's looking good she acts as if it's understood She's cool ooh, ooh, ooh Girl, girl Was she told when she was young that pain would lead to pleasure Did she understand it when they said That a man must break his back to earn his day of leisure Will she still believe it when he's dead Ah girl, girl Ah girl, girl
79;Rubber Soul;I'm Looking Through You;I'm looking through you, where did you go I thought I knew you, what did I know You don't look different but you have changed I'm looking through you, you're not the same Your lips are moving, I cannot hear Your voice is soothing but the words aren't clear You don't sound different, I've learnt the game I'm looking through you, you're not the same Why, tell me why did you not treat me right Love has a nasty habit of disappearing overnight You're thinking of me the same old way You were above me but not today The only difference is you're down there I'm looking through you and you're nowhere Why, tell me why did you not treat me right Love has a nasty habit of disappearing overnight I'm looking through you, where did you go I thought I knew you, what did I know You don't look different but you have changed I'm looking through you, you're not the same Yeah oh baby you've changed I'm, I'm looking through you Yeah I'm looking through you You've changed, you've changed...
80;Rubber Soul;In My Life;There are places I'll remember all my life Though some have changed Some forever not for better Some have gone and some remain All these places had their moments With lovers and friends I still can recall Some are dead and some are living In my life I've loved them all But of all these friends and lovers There is no one compares with you And these mem'ries lose their meaning When I think of love as something new Though I know I'll never lose affection For people and things that went before I know I'll often stop and think about them In my life I'll love you more Though I know I'll never lose affection For people and things that went before I know I'll often stop and think about them In my life I'll love you more In my life I'll love you more
81;Rubber Soul;Wait;It's been a long time, now I'm coming back home I've been away now oh how I've been alone Wait till I come back to your side We'll forget the tears we cried But if your heart breaks, don't wait, turn me away And if your heart's strong, hold on, I won't be late Wait till I come back to your side We'll forget the tears we cried I ... you ought to know That I've been good as good as I can be And if you do I'll trust in you And know that you will wait for me It's been a long time, now I'm coming back home I've been away now oh how I've been alone Wait till I come back to your side We'll forget the tears we cried I ... you ought to know That I've been good as good as I can be And if you do I'll trust in you And know that you will wait for me But if your heart breaks, don't wait, turn me away And if your heart's strong, hold on, I won't be late Wait till I come back to your side We'll forget the tears we cried It's been a long time, now I'm coming back home I've been away now oh how I've been alone
82;Rubber Soul;If I Needed Someone;If I needed someone to love You're the woman I'd be thinking of If I needed someone If I had some more time to spend Then I guess I'd be with you my friend If I needed someone Had you come some other day Then it might not have been like this But you see now I'm too much in love Carve your number on my wall And maybe you will get a call from me If I needed someone If I had some more time to spend Then I guess I'd be with you my friend If I needed someone Had you come some other day Then it might not have been like this But you see now I'm too much in love Carve your number on my wall And maybe you will get a call from me If I needed someone If I needed someone to love You're the woman I'd be thinking of If I needed someone If I had some more time to spend Then I guess I'd be with you my friend If I needed someone Had you come some other day Then it might not have been like this But you see now I'm too much in love Carve your number on my wall And maybe you will get a call from me If I needed someone If I had some more time to spend Then I guess I'd be with you my friend If I needed someone Had you come some other day Then it might not have been like this But you see now I'm too much in love Carve your number on my wall And maybe you will get a call from me If I needed someone
83;Rubber Soul;Run for Your Life;Well I'd rather see you dead little girl Than to be with another man You'd better keep your head little girl Or I won't know where I am You'd better run for your life if you can little girl Hide your head in the sand little girl Catch you with another man That's the end ah little girl Well you know that I'm a wicked guy And I was born with a jealous mind And I can't spend my whole life tryin' Just to make you toe the line You'd better run for your life if you can little girl Hide your head in the sand little girl Catch you with another man That's the end ah little girl Let this be a sermon I mean everything I said Baby I'm determined And I'd rather see you dead You'd better run for your life if you can little girl Hide your head in the sand little girl I catch you with another man That's the end ah little girl I'd rather see you dead little girl Than to be with another man You'd better keep your head little girl Or you won't know where I am You'd better run for your life if you can little girl Hide your head in the sand little girl Catch you with another man That's the end ah little girl Na na na...
84;Revolver;Taxman;One, two, three, four One, two (three, four) Let me tell you how it will be There's one for you, nineteen for me 'Cause I'm the taxman Yeah I'm the taxman Should five percent appear too small Be thankful I don't take it all 'Cause I'm the taxman Yeah I'm the taxman If you drive a car (car) I'll tax the street If you try to sit (sit) I'll tax your seat If you get too cold (cold) I'll tax the heat If you take a walk (walk) I'll tax your feat Taxman 'Cause I'm the taxman Yeah I'm the taxman Don't ask me what I want it for (ah ah Mr. Wilson) If you don't want to pay some more (ah ah Mr. Heath) 'Cause I'm the taxman Yeah I'm the taxman Now my advice for those who die (taxman) Declare the pennies on your eyes (taxman) 'Cause I'm the taxman Yeah I'm the taxman and you're working for no one but me Taxman
85;Revolver;Eleanor Rigby;Ah look at all the lonely people Ah look at all the lonely people Eleanor Rigby picks up the rice in the church Where a wedding has been, lives in a dream Waits at the window, wearing the face That she keeps in a jar by the door, who is it for All the lonely people, where do they all come from All the lonely people, where do they all belong Father McKenzie, writing the words of a sermon That no one will hear, no one comes near Look at him working, darning his socks in the night When there's nobody there, what does he care All the lonely people, where do they all come from All the lonely people, where do they all belong Ah look at all the lonely people Ah look at all the lonely people Eleanor Rigby died in the church and was buried Along with her name, nobody came Father McKenzie, wiping the dirt from his hands As he walks from the grave, no one was saved All the lonely people, where do they all come from All the lonely people, where do they all belong
86;Revolver;I'm Only Sleeping;When I wake up early in the morning Lift my head, I'm still yawning When I'm in the middle of a dream Stay in bed, float upstream (float upstream) Please don't wake me, no, don't shake me Leave me where I am, I'm only sleeping Everybody seems to think I'm lazy I don't mind I think they're crazy Running everywhere at such a speed Till they find there's no need (there's no need) Please don't spoil my day, I'm miles away And after all I'm only sleeping Keeping an eye on the world going by my window Taking my time, lying there and staring at the ceiling Waiting for a sleepy feeling Please don't spoil my day, I'm miles away And after all I'm only sleeping Keeping an eye on the world going by my window Taking my time When I wake up early in the morning Lift my head, I'm still yawning When I'm in the middle of a dream Stay in bed, float upstream (float upstream) Please don't wake me, no, don't shake me Leave me where I am, I'm only sleeping
87;Revolver;Love You To;Each day just goes so fast I turn around, it's past You don't get time to hang a sign on me Love me while you can Before I'm a dead old man A life-time is so short A new one can't be bought But what you've got means such a lot to me Make love all day long Make love singing songs Make love all day long Make love singing songs There's people standing round Who'll screw you in the ground They'll fill you in with all their sins you'll see I'll make love to you If you want me to
88;Revolver;Here, There and Everywhere;To lead a better life, I need my love to be here Here, making each day of the year Changing my life with a wave of her hand Nobody can deny that there's something there There, running my hands through her hair Both of us thinking how good it can be Someone is speaking but she doesn't know he's there I want her everywhere And if she's beside me I know I need never care But to love her is to meet her everywhere Knowing that love is to share Each one believing that love never dies Watching her eyes and hoping I'm always there I want her everywhere And if she's beside me I know I need never care But to love her is to meet her everywhere Knowing that love is to share Each one believing that love never dies Watching her eyes and hoping I'm always there To be there and everywhere Here, there and everywhere
89;Revolver;Yellow Submarine;In the town where I was born Lived a man who sailed to sea And he told us of his life In the land of submarines So we sailed on to the sun Till we found the sea of green And we lived beneath the waves In our yellow submarine We all live in a yellow submarine Yellow submarine, yellow submarine We all live in a yellow submarine Yellow submarine, yellow submarine And our friends are all aboard Many more of them live next door And the band begins to play We all live in a yellow submarine Yellow submarine, yellow submarine We all live in a yellow submarine Yellow submarine, yellow submarine As we live a life of ease Everyone of us has all we need Sky of blue and sea of green In our yellow submarine We all live in a yellow submarine Yellow submarine, yellow submarine We all live in a yellow submarine Yellow submarine, yellow submarine We all live in a yellow submarine Yellow submarine, yellow submarine We all live in a yellow submarine Yellow submarine, yellow submarine
90;Revolver;She Said She Said;She said 'I know what it's like to be dead I know what it is to be sad' And she's making me feel like I've never been born I said 'who put all those things in your hair Things that make me feel that I'm mad And you're making me feel like I've never been born' She said 'you don't understand what I've said' I said 'no, no, no, you're wrong' When I was a boy everything was right, everything was right I said 'even though you know what you know I know that that I'm ready to leave 'Cause you're making me feel like I've never been born' She said 'you don't understand what I've said' I said 'no, no, no, you're wrong' When I was a boy everything was right, everything was right I said 'even though you know what you know I know that that I'm ready to leave 'Cause you're making me feel like I've never been born' She said (she said) 'I know what it's like to be dead (I know what it's like to be dead) I know what it is to be sad (I know what it is to be sad)'...
