id;album;track;lyrics
36;A Hard Day's Night;Any Time at All;Any time at all, any time at all, any time at all, All you've gotta do is call and I'll be there. If you need somebody to love, just look into my eyes, I'll Be there to make you feel right. If you're feeling sorry and sad, I'd really sympathise. Don't you be sad, just call me tonight. Any time at all, any time at all, any time at all, All you've gotta do is call and I'll be there. If the sun has faded away, I'll try to make it shine, There's nothing I won't do If you need a shoulder to cry on I hope it will be mine. Call me tonight, and I'll come to you. Any time at all, any time at all, any time at all, All you've gotta do is call and I'll be there. Any time at all, all you've gotta do is call and I'll be there.
37;A Hard Day's Night;I'll Cry Instead;I've got every reason on earth to be mad, 'Cause I've just lost the only girl I had. If I could get my way, I'd get myself locked up today, But I can't so I cry instead. I've got a chip on my shoulder that's bigger than my feet, I can't talk to people that I meet. If I could see you now, I'd try to make you sad somehow, But I can't so I cry instead. Don't want to cry when there's people there, I get shy when they start to stare, I'm gonna hide myself away, ay hay But I'll come back again someday. And when I do you'd better hide all the girls, I'm gonna break their hearts all 'round the world. Yes, I'm gonna break them in two, and show you What your loving man can do, Until then I'll cry instead.
38;A Hard Day's Night;Things We Said Today;You say you will love me If I have to go. You'll be thinking of me, Somehow I will know. Someday when I'm lonely, Wishing you weren't so far away, Then I will remember The things we said today. You say you'll be mine, girl, Until the end of time. These days such a kind girl Seems so hard to find. Someday when we're dreaming, Deep in love, not a lot to say. Then we will remember The things we said today. Me, I'm just the lucky kind. Love to hear you say that love is luck. And, though we may be blind, Love is here to stay. And that's enough To make you mine, girl, Be the only one. Love me all the time, girl. We'll go on and on. Someday when we're dreaming, Deep in love, not a lot to say. Then we will remember The things we said today. Love me all the time, girl. We'll go on and on. Someday when we're dreaming, Deep in love, not a lot to say. Then we will remember The things we said today.
39;A Hard Day's Night;When I Get Home;Whoa-ho, whoa-ho, I got a whole lot of things to tell her, When I get home. Come on, out of my way, 'Cause I'm gonna see my baby today, I've got a whole lot of things I've gotta say to her. Whoa-ho, whoa-ho, I got a whole lot of things to tell her, When I get home. Come on if you please, I've got no time for trivialities, I've got a girl who's waiting home for me tonight. Whoa-ho, whoa-ho, I got a whole lot of things to tell her, When I get home. When I'm getting home tonight, I'm gonna Hold her tight. I'm gonna love her till the cows come home, I bet I'll love her more, Till I walk out that door again. Come on, let me through, I've got so many things, I've got to do, I've got no business being here with you This way. Whoa-ho, whoa-ho, I've got a whole lot of things to tell her When I get home - yeah.
40;A Hard Day's Night;You Can't Do That;I got something to say that might cause you pain, If I catch you talking to that boy again, I'm gonna let you down, And leave you flat, Because I told you before, oh, You can't do that. Well, it's the second time, I've caught you talking to him, Do I have to tell you one more time, I think it's a sin, I think I'll let you down. Let you down and leave you flat, Gonna let you down and leave you flat, Because I've told you before, oh, You can't do that. Ev'rybody's green, 'Cause I'm the one, who won your love, But if it's seen, You're talking that way they'd laugh in my face. So please listen to me, if you wanna stay mine, I can't help my feelings, I'll go out of my mind. I know I'll let you down, and leave you flat, Gonna let you down and leave you flat, Because I've told you before, oh, You can't do that.
41;A Hard Day's Night;I'll Be Back;You know if you break my heart I'll go, but I'll be back again, 'Cause I told you once before goodbye, but I came back again. I love you so oh I'm the one who wants you, yes, I'm the one who wants you, oh ho, oh ho, oh You could find better things to do, than to break my heart again, this time I will try to show that I'm not trying to pretend. I thought that you would realise that if I ran away from you that you would want me too, but I've got a big surprise, oh ho, oh ho, oh You could find better things to do, than to break my heart again, this time I will try to show that I'm not trying to pretend. I wanna go but I hate to leave you, you know I hate to leave you, oh ho, oh ho, oh You, if you break my heart I'll go, but I'll be back again.
42;Beatles for Sale;No Reply;This happened once before when I came to your door, no reply They said it wasn't you but I saw you peep through your window I saw the light, I saw the light I know that you saw me 'cause I looked up to your face I tried to telephone, they said you were not home, that's a lie 'Cause I know where you've been, I saw you walk in your door I nearly died, I nearly died 'Cause you walked hand in hand with another man in my place If I were you I'd realise that I love you more than any other guy And I'll forgive the lies that I heard before when you gave me no reply I tried to telephone, they said you were not home, that's a lie 'Cause I know where you've been, I saw you walk in your door I nearly died, I nearly died 'Cause you walked hand in hand with another man in my place No reply, no reply
43;Beatles for Sale;I'm a Loser;I'm a loser I'm a loser And I'm not what I appear to be Of all the love I have won or have lost there is one love I should never have crossed She was a girl in a million, my friend I should have known she would win in the end I'm a loser And I lost someone who's near to me I'm a loser And I'm not what I appear to be Although I laugh and I act like a clown Beneath this mask I am wearing a frown My tears are falling like rain from the sky Is it for her or myself that I cry I'm a loser And I lost someone who's near to me I'm a loser And I'm not what I appear to be What have I done to deserve such a fate I realize I have left it too late And so it's true, pride comes before a fall I'm telling you so that you won't lose all I'm a loser And I lost someone who's near to me I'm a loser And I'm not what I appear to be
44;Beatles for Sale;Baby's in Black;Oh dear what can I do Baby's in black and I'm feeling blue Tell me oh what can I do She thinks of him and so she dresses in black And though he'll never come back she's dressed in black Oh dear what can I do Baby's in black and I'm feeling blue Tell me oh what can I do I think of her but she thinks only of him And though it's only a whim she thinks of him Oh how long will it take Till she sees the mistake she has made Dear what can I do Baby's in black and I'm feeling blue Tell me oh what can I do Oh how long will it take Till she sees the mistake she has made Dear what can I do Baby's in black and I'm feeling blue Tell me oh what can I do She thinks of him and so she dresses in black And though he'll never come back she's dressed in black Oh dear what can I do Baby's in black and I'm feeling blue Tell me oh what can I do
45;Beatles for Sale;Rock and Roll Music;Just let me hear some of that Rock And Roll Music Any old way you choose it It's got a back beat, you can't lose it Any old time you use it Gotta be Rock And Roll Music If you want to dance with me If you want to dance with me I've got no kick against modern jazz Unless they try to play it too darn fast And lose the beauty of the melody Until they sounded like a symphony That's why I go for that Rock And Roll Music Any old way you choose it It's got a back beat, you can't lose it Any old time you use it It's gotta be Rock And Roll Music If you want to dance with me If you want to dance with me [ I took my lover on over 'cross the tracks ... I must admit we had a rockin' band Now they will blow her like a hurricane ] That's why I go for that Rock And Roll Music Any old way you choose it It's got a back beat, you can't lose it Any old time you use it Gotta be Rock And Roll Music If you want to dance with me If you want to dance with me [ Way down south they had a jeweller They drink ... from a wooden cup .. all shook up ] I try to play that Rock And Roll Music Any old time you use it It's got a back beat, you can't lose it Any old time you use it Gotta be Rock And Roll Music If you want to dance with me If you want to dance with me Don't care to hear 'em play a tango I'm in the mood to dig a mambo It's way to early for a congo So keep on rockin' that piano That's why I go for that Rock And Roll Music Any old time you use it It's got a back beat, you can't lose it Any old time you use it Gotta be Rock And Roll Music If you want to dance with me If you want to dance with me
